symbol
AGER
S100A12
S100B
SAA1
DHX58
NLRX1
NLRC5
AIM2
SIGLEC14
CLEC5A
SIGLEC15
KIR2DS4
KIR2DS5
KIR3DS1
KLRC2
FCER1A
MS4A2
EPPIN-WFDC6
GNLY
CHGA
PGLYRP2
PGLYRP3
LEAP2
DCD
RNASE8
BPIFB6
REG3G
BPIFA2
BPIFB4
HTN1
HTN3
LYZ
REG3A
BPIFA1
PLA2G2A
ITLN1
PGLYRP4
EPPIN
RNASE3
RNASE6
SEMG1
BPI
BPIFB2
CAMP
RNASE7
PGLYRP1
BPIFB1
TMED7-TICAM2
TOM1
ATP6AP2
CRISP3
PRG3
ATP8A1
VAT1
PRDX4
AGPAT2
OLFM4
CCT2
NPC2
CCT8
IQGAP2
HPSE
PGRMC1
FGL2
RAB10
CKAP4
SLC27A2
GLIPR1
RAB31
CHI3L1
TMC6
PDAP1
CHRNB4
STK11IP
LRG1
SLC15A4
CANT1
CNN2
ARL8A
COPB1
CST3
CSTB
NFAM1
CTSZ
ABCA13
MOSPD2
CLEC12A
CD55
DDX3X
DEFA1
DEFA4
CLEC4C
CYB5R3
AGA
DNASE1L1
AGL
SERPINB1
MCEMP1
UNC13D
STOM
ALAD
FCAR
ALDH3B1
FCGR3B
FCN1
ADGRG3
ENPP4
CD93
RAB18
ALDOC
ERP44
FAF2
ATP11B
NBEAL2
ATP11A
DNAJC13
COTL1
COMMD3
FOLR3
ARHGAP45
FPR1
FPR2
HEBP2
ALOX5
FRK
FTH1
FTL
FUCA1
FUCA2
QPCT
BRI3
GCA
SVIP
TMT1A
ARMC8
AOC1
OSTF1
GDI2
GLA
AMPD3
GM2A
GRN
DBNL
ANPEP
COMMD9
CXCL1
GSN
DPP7
ACAA1
HK3
HP
RAB37
APEH
CLEC4D
IGF2R
SLCO4C1
TICAM2
CXCR1
CXCR2
ILF2
TMEM179B
TBC1D10C
ARG1
C6orf120
NHLRC3
HRNR
FLG2
LAMP1
LCN2
RAB44
IRAG2
LTA4H
ARSA
MAN2B1
MANBA
MGST1
MME
MNDA
MPO
TARM1
ACLY
NDUFC2
PA2G4
PAFAH1B2
DERA
RAB9B
RAB14
YPEL5
CAB39
ADA2
PFKL
PGAM1
SERPINB10
PIGR
PKM
PLD1
ATP6V0A1
GPR84
RAB4B
RAB24
TOLLIP
RHOF
CMTM6
ACP3
PGM2
CPPED1
PRG2
TMEM30A
CAND1
AZU1
KCMF1
NIT2
VPS35L
SLC44A2
PTAFR
RAP2C
PTPRB
PTPRN2
PTX3
PYGB
PYGL
TRAPPC1
RAB3A
RAB6A
RAP2B
RNASE2
S100A7
S100A11
S100P
SERPINB3
TMBIM1
ARHGAP9
SLC11A1
SLPI
SRP14
STK10
BST1
SURF4
TCN1
DYNLT1
TNFAIP6
TNFRSF1B
TRPM2
C5AR1
DEFA1B
C1orf35
LPCAT1
ATP8B4
DOK3
PTGES2
PLEKHO2
DNAJC5
TXNDC5
TSPAN14
EPX
CRISPLD2
ATAD3B
HVCN1
CYSTM1
FRMPD3
GHDC
ADGRE3
CRACR2A
KCNAB2
DEGS1
PDXK
RNASET2
DGAT1
CREG1
GGH
VNN 1.00
CPNE3
CPNE1
SERPINB12
STBD1
SYNGR1
VAPA
NAPRT
MS4A3
SNAP29
ORMDL3
SCAMP1
GMFG
RAB3D
CD53
CD59
CD68
TMEM63A
ADGRE5
MLEC
CDA
MVP
ATP6V0A2
ATP6V0A4
ALPK1
TIFA
CNPY3
SARM1
EEA1
LBP
CD180
LY86
MAP3K1
ECSIT
PELI3
PELI2
PELI1
USP18
NKIRAS2
NKIRAS1
TNIP2
ATF1
DUSP3
DUSP4
VRK3
IKBIP
USP14
N4BP1
LRRC14
TANK
BIRC2
BIRC3
IRAK3
SIGIRR
C4B_2
COLEC10
FCN2
C1QA
C1QB
C1QC
C1R
C1S
C2
C4A
C4B
COLEC11
FCN3
CFB
C5
C6
C7
C8A
C8B
C8G
C9
CFHR4
CFHR3
CPB2
CPN1
CPN2
CR2
C5AR2
CFH
CFHR1
CFHR2
CFI
CD46
C4BPA
C4BPB
CFHR5
GZMM
CRP
CYLD
MAPK13
CARD9
TNFAIP3
CASP4
PANX1
NLRP1
RNF216
RNF125
OTUD5
TAX1BP1
CGAS
IFI16
DDX41
DHX9
DHX36
NLRP4
DTX4
TRIM56
TREX1
NLRC3
STAT6
NF2
PLD4
PLPP4
PLD3
PLD2
PLA2G6
PLPP5
TEC
TXK
RASGRP4
LAT2
CLEC7A
CLEC10A
CLEC4E
CLEC4A
CLEC6A
RELB
DEFB130B
DEFB4B
DEFB118
DEFB104A
DEFB127
DEFB129
DEFA3
DEFA5
DEFA6
DEFB1
DEFB4A
DEFB105A
DEFB106A
DEFB107A
DEFB108B
DEFB110
DEFB113
DEFB114
DEFB115
DEFB116
DEFB119
DEFB121
DEFB123
DEFB124
DEFB125
DEFB128
DEFB130A
DEFB132
DEFB103A
DEFB107B
DEFB104B
DEFB106B
DEFB105B
DEFB103B
DEFB135
DEFB136
DEFB134
DEFB131A
DEFB126
S100A7A
PDZD11
ART1
CCR6
CCR2
LPO
CISH
CSH1
GH1
GH2
GHR
PRL
PRLR
SOCS2
TNFSF13B
TNFRSF13C
LTA
LTB
LTBR
TNFSF12-TNFSF13
TNFRSF12A
TNFSF11
TNFSF14
TNFSF12
TNFRSF11A
CSF3
GAB3
CSF1
IL34
INPPL1
ADAR
IRF9
IFITM3
IFITM2
EGR1
IFIT5
IFI6
SAMHD1
GBP2
IRF8
IFI27
IFI35
IFIT2
IFIT1
IFIT3
IRF5
IRF6
ISG20
MX1
MX2
OAS1
OAS3
IP6K2
XAF1
RNASEL
ABCE1
OASL
RSAD2
TRIM10
TRIM22
TRIM38
TRIM3
TRIM31
GBP4
GBP5
TRIM6
GBP6
TRIM35
TRIM2
TRIM29
GBP1
GBP3
GBP7
CIITA
MID1
TRIM17
TRIM34
TRIM68
TRIM62
SP100
TRIM26
TRIM48
TRIM46
TRIM45
TRIM8
TRIM5
TRIM14
PTPN2
EIF4G2
FLNB
EIF4E3
EIF4G3
EIF4E2
PDE12
MAPT
DUS2
SNCA
SPHK1
LGALS9
HAVCR2
IL3RA
IL5
IL5RA
BATF
IL23R
FCER2
ALOX15
ANXA1
IL2RG
IL4
IL4R
IL12A
IL12B
IL13
IL13RA1
IL13RA2
LIF
NDN
OPRD1
OSM
IL23A
PTGS2
RHOU
CCL11
CCL22
FSCN1
ZEB1
SOCS5
IL7
IL7R
RAG1
RAG2
CRLF2
TSLP
CCR1
CXCL2
IL1RN
IL10RB
CXCL10
CCL4L1
CCL3L3
CCL3
CCL3L1
CCL4
CCL5
CCL19
CCL20
TNFRSF1A
IL1R2
IL17RE
IL17C
IL17RB
IL25
IL24
IL22RA2
IFNLR1
IFNL2
IFNL3
IFNL1
IL19
IL20
IL20RA
IL20RB
IL26
IL22RA1
STAT4
TXLNA
IL16
PTPRZ1
STX3
IL32
IL1RAP
MAP3K3
IL18BP
IL37
IL18RAP
IL18R1
IL33
IL1RL1
IL36RN
IL36B
IL36A
IL36G
IL1F10
IL1RL2
PTPN23
PTPN20
PTPN18
PTPN7
PTPN9
PTPN13
PTPN14
PTPN5
IL1RAPL1
IL2RB
IL9
IL9R
IL15
IL15RA
IL21R
IL21
CRKL
RAPGEF1
IL6ST
CNTF
CNTFR
IL31RA
CTF1
CLCF1
IL11
IL11RA
IL31
OSMR
CRLF1
IL12RB1
IL12RB2
VAMP7
